analysis_set,template,condition,n,exact_accuracy,exact_accuracy_ci95_low,exact_accuracy_ci95_high,entity_containing_accuracy,entity_containing_accuracy_ci95_low,entity_containing_accuracy_ci95_high,first_token_accuracy,first_token_accuracy_ci95_low,first_token_accuracy_ci95_high,mean_expected_entity_log_probability,mean_expected_entity_log_probability_ci95_low,mean_expected_entity_log_probability_ci95_high,mean_expected_vs_alternative_logit_margin,mean_expected_vs_alternative_logit_margin_ci95_low,mean_expected_vs_alternative_logit_margin_ci95_high
all_100,person_in_list,full_intermediate_bottleneck,100,0.49,0.3942199893044113,0.5865198806597283,0.49,0.3942199893044113,0.5865198806597283,0.89,0.8136870349691969,0.9374580364293543,-0.971729699075222,-1.1160780910907657,-0.8273813070596783,1.26375,1.0342016793465199,1.49329832065348
all_100,person_in_list,early_5_7,100,0.52,0.4231657776522397,0.615354482419481,0.52,0.4231657776522397,0.615354482419481,0.93,0.8625048526092651,0.9656807389327273,-0.7601259611546993,-0.8869123945462982,-0.6333395277631004,1.695,1.468108413444459,1.921891586555541
all_100,person_in_list,middle_12_14,100,0.59,0.4920143005341078,0.6813268697886348,0.59,0.4920143005341078,0.6813268697886348,0.94,0.8752318455410406,0.9722138760368118,-0.7217612171173096,-0.8416654450350247,-0.6018569891995944,1.8875,1.660603483834733,2.114396516165267
all_100,person_in_list,later_middle_19_21,100,0.56,0.4622810465167699,0.6532797336983921,0.56,0.4622810465167699,0.6532797336983921,0.95,0.8882495307680808,0.9784563208456319,-0.5152217694371939,-0.6205787072763137,-0.40986483159807413,2.49,2.2629342988156593,2.717065701184341
all_100,person_in_list,sparse_union,100,0.71,0.6146110882442888,0.7898516425087772,0.71,0.6146110882442888,0.7898516425087772,0.99,0.9455138038212946,0.9982325679358593,-0.2654042525961995,-0.3339626497965441,-0.19684585539585486,3.55375,3.3313691149030076,3.7761308850969924
all_100,person_in_list,late_negative_30_32,100,0.5,0.4038315303659956,0.5961684696340044,0.5,0.4038315303659956,0.5961684696340044,0.89,0.8136870349691969,0.9374580364293543,-0.9254180151224136,-1.0665365147850734,-0.784299515459754,1.34125,1.1140974283266443,1.5684025716733558
all_100,friend,clean,100,0.98,0.929988209271456,0.9944980324498376,1.0,0.9630065017930143,1.0,0.98,0.929988209271456,0.9944980324498376,-0.20684054128825666,-0.2426868289689958,-0.17099425360751752,3.5875,3.3536976525725084,3.8213023474274914
all_100,friend,generated_read_block,100,0.56,0.4622810465167699,0.6532797336983921,0.58,0.4820648670304296,0.6720161732564526,0.98,0.929988209271456,0.9944980324498376,-0.20684054128825666,-0.2426868289689958,-0.17099425360751752,3.5875,3.3536976525725084,3.8213023474274914
all_100,friend,full_intermediate_bottleneck,100,0.17,0.10893566114059931,0.25548004767601123,0.17,0.10893566114059931,0.25548004767601123,0.63,0.5322052958094291,0.7181763946567546,-2.2096020686626434,-2.497495965201989,-1.921708172123298,0.45,0.13500269855119745,0.7649973014488025
all_100,friend,early_5_7,100,0.53,0.4328885697009936,0.6248918204065872,0.53,0.4328885697009936,0.6248918204065872,0.98,0.929988209271456,0.9944980324498376,-0.862632989436388,-0.9438173943648542,-0.7814485845079218,1.6275,1.481466437496886,1.773533562503114
all_100,friend,middle_12_14,100,0.45,0.3561453797951198,0.5475539700255787,0.45,0.3561453797951198,0.5475539700255787,0.91,0.837737871472837,0.9519274599974348,-1.2342550887167454,-1.3849336801951244,-1.0835764972383664,1.49125,1.2943291902257659,1.688170809774234
all_100,friend,later_middle_19_21,100,0.25,0.17545211362287672,0.34304463548061603,0.25,0.17545211362287672,0.34304463548061603,0.71,0.6146110882442888,0.7898516425087772,-1.9107505595684051,-2.1613594568065304,-1.6601416623302798,0.785,0.5029518882243246,1.0670481117756756
all_100,friend,sparse_union,100,0.54,0.44264860323368227,0.6343919169097589,0.54,0.44264860323368227,0.6343919169097589,1.0,0.9630065017930143,1.0,-0.4676735469698906,-0.5100766483208655,-0.42527044561891564,2.39125,2.2436641274724898,2.53883587252751
all_100,friend,late_negative_30_32,100,0.21,0.141656540619153,0.29979968834089865,0.21,0.141656540619153,0.29979968834089865,0.66,0.5627772885472462,0.7453847920265184,-2.123053135871887,-2.402355105594907,-1.843751166148867,0.54,0.23112059990367506,0.848879400096325
all_100,visitor_register,clean,100,0.96,0.9016292856411208,0.9843366960084523,0.99,0.9455138038212946,0.9982325679358593,0.96,0.9016292856411208,0.9843366960084523,-0.19154078021645546,-0.24633411692516646,-0.13674744350774445,3.2675,3.002772909481693,3.5322270905183073
all_100,visitor_register,generated_read_block,100,0.63,0.5322052958094291,0.7181763946567546,0.66,0.5627772885472462,0.7453847920265184,0.96,0.9016292856411208,0.9843366960084523,-0.19154078021645546,-0.24633411692516646,-0.13674744350774445,3.2675,3.002772909481693,3.5322270905183073
all_100,visitor_register,full_intermediate_bottleneck,100,0.57,0.47215389549212305,0.6626670147588988,0.59,0.4920143005341078,0.6813268697886348,0.97,0.9154806357094724,0.9897454759759611,-0.3730791221559048,-0.433568238245837,-0.31259000606597254,2.28875,2.093399327774976,2.484100672225024
all_100,visitor_register,early_5_7,100,0.58,0.4820648670304296,0.6720161732564526,0.6,0.5020025867910618,0.6905987135675411,0.98,0.929988209271456,0.9944980324498376,-0.3210060092061758,-0.37373875131607476,-0.2682732670962768,2.45625,2.262859683791015,2.6496403162089845
all_100,visitor_register,middle_12_14,100,0.58,0.4820648670304296,0.6720161732564526,0.6,0.5020025867910618,0.6905987135675411,0.98,0.929988209271456,0.9944980324498376,-0.31812057621777057,-0.37545169789112914,-0.260789454544412,2.50125,2.302531176623976,2.6999688233760244
all_100,visitor_register,later_middle_19_21,100,0.58,0.4820648670304296,0.6720161732564526,0.6,0.5020025867910618,0.6905987135675411,0.98,0.929988209271456,0.9944980324498376,-0.2757467929646373,-0.3242766965594007,-0.22721688936987386,2.68375,2.489971926314751,2.877528073685249
all_100,visitor_register,sparse_union,100,0.58,0.4820648670304296,0.6720161732564526,0.6,0.5020025867910618,0.6905987135675411,0.98,0.929988209271456,0.9944980324498376,-0.20271984096616508,-0.2402957108405434,-0.16514397109178675,3.0,2.8122961844983765,3.1877038155016235
all_100,visitor_register,late_negative_30_32,100,0.57,0.47215389549212305,0.6626670147588988,0.59,0.4920143005341078,0.6813268697886348,0.98,0.929988209271456,0.9944980324498376,-0.35726792849600314,-0.4154241917513091,-0.29911166524069716,2.32375,2.130819064491982,2.5166809355080177
all_100,dialogue,clean,100,0.48,0.384645517580519,0.5768342223477603,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,-0.5653794304281473,-0.6171392886120135,-0.5136195722442811,2.3825,2.233066194773146,2.5319338052268536
all_100,dialogue,generated_read_block,100,0.0,3.469446951953614e-18,0.03699349820698568,0.63,0.5322052958094291,0.7181763946567546,1.0,0.9630065017930143,1.0,-0.5653794304281473,-0.6171392886120135,-0.5136195722442811,2.3825,2.233066194773146,2.5319338052268536
all_100,dialogue,full_intermediate_bottleneck,100,0.0,3.469446951953614e-18,0.03699349820698568,0.29,0.2101483574912227,0.3853889117557111,0.61,0.5120301704584073,0.6998312599360558,-2.0909833294153213,-2.2323307158341907,-1.9496359429964518,0.1875,-0.007494246775942293,0.3824942467759423
all_100,dialogue,early_5_7,100,0.0,3.469446951953614e-18,0.03699349820698568,0.35,0.26364248243097527,0.44745556703112027,0.71,0.6146110882442888,0.7898516425087772,-1.8208271393179893,-1.9556558675449662,-1.6859984110910124,0.49125,0.29565900055205574,0.6868409994479443
all_100,dialogue,middle_12_14,100,0.0,3.469446951953614e-18,0.03699349820698568,0.35,0.26364248243097527,0.44745556703112027,0.69,0.5937394428051057,0.7722030278762395,-1.8674626129865646,-2.0134319454964826,-1.7214932804766465,0.4425,0.23188204315024957,0.6531179568497505
all_100,dialogue,later_middle_19_21,100,0.0,3.469446951953614e-18,0.03699349820698568,0.38,0.29097599252478734,0.47790244704488916,0.76,0.6676766365018553,0.8330867444305122,-1.6081040808558464,-1.7492959853158476,-1.4669121763958453,0.835,0.6259378828781398,1.0440621171218603
all_100,dialogue,sparse_union,100,0.0,3.469446951953614e-18,0.03699349820698568,0.55,0.45244602997442135,0.6438546202048803,0.93,0.8625048526092651,0.9656807389327273,-0.9734425643831491,-1.0852493624774324,-0.8616357662888658,1.85875,1.6470363450553707,2.070463654944629
all_100,dialogue,late_negative_30_32,100,0.0,3.469446951953614e-18,0.03699349820698568,0.31,0.22779697212376038,0.40626055719489407,0.63,0.5322052958094291,0.7181763946567546,-2.050962202548981,-2.1912940036341677,-1.910630401463794,0.2525,0.05848077209832561,0.4465192279016744
unseen_confirmatory,direct_fact,clean,86,1.0,0.9572418027142576,0.9999999999999999,1.0,0.9572418027142576,0.9999999999999999,1.0,0.9572418027142576,0.9999999999999999,-0.07971077262922081,-0.08897109603994119,-0.07045044921850044,4.225290697674419,4.099129696803012,4.351451698545826
unseen_confirmatory,direct_fact,generated_read_block,86,0.5348837209302325,0.4302430272177625,0.6365412845995112,0.5348837209302325,0.4302430272177625,0.6365412845995112,1.0,0.9572418027142576,0.9999999999999999,-0.07971077262922081,-0.08897109603994119,-0.07045044921850044,4.225290697674419,4.099129696803012,4.351451698545826
unseen_confirmatory,direct_fact,full_intermediate_bottleneck,86,0.4883720930232558,0.38550577108134854,0.5922327916462268,0.5116279069767442,0.4077672083537732,0.6144942289186514,0.9883720930232558,0.9370359341070826,0.9979444313347503,-0.30363482254189117,-0.35403845437747583,-0.2532311907063065,2.7238372093023258,2.5164030183453088,2.9312714002593427
unseen_confirmatory,direct_fact,early_5_7,86,0.4883720930232558,0.38550577108134854,0.5922327916462268,0.5,0.3966097232742094,0.6033902767257906,1.0,0.9572418027142576,0.9999999999999999,-0.21119777442410934,-0.2402831459658822,-0.18211240288233646,3.04796511627907,2.8991644694209167,3.1967657631372233
unseen_confirmatory,direct_fact,middle_12_14,86,0.5,0.3966097232742094,0.6033902767257906,0.5,0.3966097232742094,0.6033902767257906,1.0,0.9572418027142576,0.9999999999999999,-0.1756432533350795,-0.19875135306737454,-0.15253515360278444,3.183139534883721,3.039568337344109,3.326710732423333
unseen_confirmatory,direct_fact,later_middle_19_21,86,0.5116279069767442,0.4077672083537732,0.6144942289186514,0.5116279069767442,0.4077672083537732,0.6144942289186514,1.0,0.9572418027142576,0.9999999999999999,-0.23791146061794702,-0.27846376209453544,-0.1973591591413586,2.9694767441860463,2.7773617848237286,3.161591703548364
