analysis_set,template,condition,n,late_attention_clean_mean,late_attention_full_bottleneck_mean,late_attention_candidate_mean,late_attention_gap_recovery,late_attention_gap_recovery_fraction,late_contribution_clean_mean,late_contribution_full_bottleneck_mean,late_contribution_candidate_mean,late_contribution_gap_recovery,late_contribution_gap_recovery_fraction,behavior_recovery_attention_association,behavior_recovery_contribution_association
all_100,friend,middle_12_14,100,0.055611881027968296,0.04626206393237225,0.053888892121613026,0.0076268281892407684,0.815719506730583,53.393719164729106,34.79778327266375,43.39222609221935,8.594442819555601,0.4621678021175979,0.6358662961728897,0.565388208961171
all_100,friend,later_middle_19_21,100,0.055611881027968296,0.04626206393237225,0.04981646671231526,0.003554402779942999,0.38015746656875243,53.393719164729106,34.79778327266375,37.74185231049855,2.9440690378348036,0.1583178741270558,-0.132992903249206,-0.09251140636985151
all_100,friend,sparse_union,100,0.055611881027968296,0.04626206393237225,0.06332110196604238,0.017059038033670124,1.8245317378139196,53.393719164729106,34.79778327266375,56.47818211615086,21.6803988434871,1.1658675836120642,0.776472298779455,0.7260068356558563
all_100,friend,late_negative_30_32,100,0.055611881027968296,0.04626206393237225,0.04619177526697362,-7.028866539864535e-05,-0.007517651380769025,53.393719164729106,34.79778327266375,34.71695579886436,-0.0808274737993872,-0.004346512822399824,-0.012532942699066383,0.06995129843059258
all_100,visitor_register,early_5_7,100,0.0737909679215712,0.07840874550941711,0.07949107283648725,0.0010823273270701371,-0.23438273205683255,60.34362364053726,60.285679762363436,61.4343364818891,1.148656719525655,19.823607872427228,0.10878275474265395,-0.008981332302779607
all_100,visitor_register,middle_12_14,100,0.0737909679215712,0.07840874550941711,0.07800156465886782,-0.00040718085054929033,0.0881767999439813,60.34362364053726,60.285679762363436,60.923029140234,0.6373493778705597,10.999425615913294,0.14447852723849144,-0.009989649187436693
all_100,visitor_register,later_middle_19_21,100,0.0737909679215712,0.07840874550941711,0.07968197478679939,0.001273229277382294,-0.2757233870971737,60.34362364053726,60.285679762363436,62.0657394138972,1.7800596515337619,30.72040925865721,0.125408135073334,-0.037484605153962416
all_100,visitor_register,sparse_union,100,0.0737909679215712,0.07840874550941711,0.08036390526297811,0.0019551597535610197,-0.42339842410492823,60.34362364053726,60.285679762363436,63.23750483433405,2.951825071970622,50.942828906193455,0.08592746698690876,-0.09602598580048172
all_100,visitor_register,late_negative_30_32,100,0.0737909679215712,0.07840874550941711,0.07836188768269495,-4.685782672216518e-05,0.01014726799434773,60.34362364053726,60.285679762363436,60.30473394672076,0.019054184357324644,0.3288386100109382,-0.173564538111953,-0.15453495658270036
all_100,dialogue,early_5_7,100,0.05453906014328822,0.04151648710054966,0.043418231397323925,0.0019017442967742685,0.14603445037574114,52.153886013627044,34.49102132340271,36.81902662595113,2.3280053025484095,0.13180224971303012,0.04918902359048187,-0.13174484158920297
all_100,dialogue,middle_12_14,100,0.05453906014328822,0.04151648710054966,0.04296842419231932,0.0014519370917696508,0.11149387198709222,52.153886013627044,34.49102132340271,36.04432724197706,1.5533059185743332,0.08794190216686787,0.032739919574092786,0.021570999411924193
all_100,dialogue,later_middle_19_21,100,0.05453906014328822,0.04151648710054966,0.04750571107841097,0.005989223977861304,0.4599109529434293,52.153886013627044,34.49102132340271,39.47141428232192,4.980392958919207,0.28196971704570944,-0.04236477536248564,-0.10689094592707167
all_100,dialogue,sparse_union,100,0.05453906014328822,0.04151648710054966,0.05440089895312364,0.012884411852573975,0.9893906381088319,52.153886013627044,34.49102132340271,47.024596359531095,12.533575036128362,0.7096003539598635,-0.040782133453772317,-0.32680346611033384
all_100,dialogue,late_negative_30_32,100,0.05453906014328822,0.04151648710054966,0.041468900910501066,-4.7586190048605306e-05,-0.0036541311684283135,52.153886013627044,34.49102132340271,34.44951650321484,-0.041504820187886614,-0.002349835143721495,0.06989213211761841,-0.051623004142570365
unseen_confirmatory,direct_fact,early_5_7,86,0.0687778767689254,0.07087836956493412,0.070825183465391,-5.3186099543127175e-05,0.02532077217507686,61.76953563486881,56.1023022971412,58.81896799294524,2.7166656958040343,0.4793636566397894,0.06161986887842557,0.0888376391708013
unseen_confirmatory,direct_fact,middle_12_14,86,0.0687778767689254,0.07087836956493412,0.07151350309321469,0.0006351335282805702,-0.30237358085084876,61.76953563486881,56.1023022971412,60.0987635462783,3.9964612491371097,0.7051873482131156,0.034914138443674476,0.09946979533402679
unseen_confirmatory,direct_fact,later_middle_19_21,86,0.0687778767689254,0.07087836956493412,0.07278302473795795,0.0019046551730238304,-0.9067658678206278,61.76953563486881,56.1023022971412,58.8496543469355,2.747352049794308,0.48477835410530407,,
unseen_confirmatory,direct_fact,sparse_union,86,0.0687778767689254,0.07087836956493412,0.07318287640503181,0.0023045068400976967,-1.0971267525775994,61.76953563486881,56.1023022971412,62.60382634031681,6.501524043175602,1.1472130501304711,,
unseen_confirmatory,direct_fact,late_negative_30_32,86,0.0687778767689254,0.07087836956493412,0.07077691639780768,-0.00010145316712644888,0.04829969772770759,61.76953563486881,56.1023022971412,56.04861101577447,-0.05369128136671736,-0.00947398460008456,,
unseen_confirmatory,person_in_list,early_5_7,86,0.05437174216345992,0.03861275475603969,0.04289335753793951,0.004280602781899822,0.2716293040429913,54.54259043908858,37.70483015777991,40.426663663729215,2.7218335059493084,0.16165056756216986,0.07568346805725153,0.08128441861166784
unseen_confirmatory,person_in_list,middle_12_14,86,0.05437174216345992,0.03861275475603969,0.04262236840147598,0.0040096136454362856,0.2544334570347032,54.54259043908858,37.70483015777991,39.985167476904486,2.280337319124577,0.13542996699245935,0.12948601698432113,0.09711745386784422
unseen_confirmatory,person_in_list,later_middle_19_21,86,0.05437174216345992,0.03861275475603969,0.050613325667006236,0.012000570910966544,0.7615064725107901,54.54259043908858,37.70483015777991,46.94414006381535,9.23930990603543,0.5487255877072819,-0.046709029439406656,-0.1403949253879579
unseen_confirmatory,person_in_list,sparse_union,86,0.05437174216345992,0.03861275475603969,0.05754623904665426,0.018933484290614578,1.2014404099148914,54.54259043908858,37.70483015777991,52.13009521526883,14.425265057488932,0.8567211325310401,0.33469445300407696,0.24570877673376637
unseen_confirmatory,person_in_list,late_negative_30_32,86,0.05437174216345992,0.03861275475603969,0.03858094200241026,-3.1812753629429986e-05,-0.002018705441343948,54.54259043908858,37.70483015777991,37.67886939656364,-0.025960761216259714,-0.0015418179604967017,0.013555836644804345,-0.0011042451297213715
unseen_confirmatory,friend,early_5_7,86,0.0565656507626905,0.04906119697261601,0.055168029443404196,0.006106832470788166,0.8137610866316694,54.024339374183675,36.218677013188376,48.683049611573985,12.464372598385628,0.7000229671708144,0.786352233284497,0.7394334590470492
unseen_confirmatory,friend,middle_12_14,86,0.0565656507626905,0.04906119697261601,0.0557521737312407,0.006690976758624694,0.8916007674634878,54.024339374183675,36.218677013188376,44.2202580296254,8.00158101643703,0.44938406975328893,0.5690904814991772,0.5060195251883224
unseen_confirmatory,friend,later_middle_19_21,86,0.0565656507626905,0.04906119697261601,0.052641993669645004,0.0035807966970289916,0.477156205794086,54.024339374183675,36.218677013188376,39.2082951147427,2.9896181015543237,0.16790266157710113,-0.14247652475763553,-0.11026112950432605
unseen_confirmatory,friend,sparse_union,86,0.0565656507626905,0.04906119697261601,0.064359670853948,0.015298473881331971,2.038585926342298,54.024339374183675,36.218677013188376,56.67482103857884,20.456144025390465,1.148856111649137,0.7772601103012022,0.7517567830468836
unseen_confirmatory,friend,late_negative_30_32,86,0.0565656507626905,0.04906119697261601,0.04898519149070873,-7.600548190728976e-05,-0.01012804982659975,54.024339374183675,36.218677013188376,36.13382409917292,-0.08485291401545147,-0.004765501686773999,0.004549373259469081,0.08338556550717921
unseen_confirmatory,visitor_register,early_5_7,86,0.07332549496308374,0.07869560957629985,0.07973049374210628,0.001034884165806422,-0.1927117464605918,61.42832046839617,61.06926949726518,62.25647345716639,1.1872039599012032,3.3065053581712185,0.03416959780556317,-0.08732384340895082
unseen_confirmatory,visitor_register,middle_12_14,86,0.07332549496308374,0.07869560957629985,0.0782385206467277,-0.0004570889295721349,0.08511716462200211,61.42832046839617,61.06926949726518,61.759750267793976,0.6904807705287783,1.9230717253146548,0.10369142915847501,-0.02110913230099099
unseen_confirmatory,visitor_register,later_middle_19_21,86,0.07332549496308374,0.07869560957629985,0.07970637721262237,0.001010767636322525,-0.18822086847736494,61.42832046839617,61.06926949726518,62.80323788361955,1.733968386354372,4.829309835571432,0.07352990523951061,-0.06993030501730008
unseen_confirmatory,visitor_register,sparse_union,86,0.07332549496308374,0.07869560957629985,0.08031233012235847,0.001616720546058618,-0.30105885302332114,61.42832046839617,61.06926949726518,63.95103008525316,2.881760587987973,8.026048722025676,0.04477188176658174,-0.14072073374206254
unseen_confirmatory,visitor_register,late_negative_30_32,86,0.07332549496308374,0.07869560957629985,0.07864662358815269,-4.898598814715254e-05,0.009121963249461318,61.42832046839617,61.06926949726518,61.0828187253124,0.013549228047214834,0.037736224482377755,-0.18313474890392684,-0.15974295846008968
unseen_confirmatory,dialogue,early_5_7,86,0.05442139536030446,0.04193887250658573,0.043884071141080706,0.0019451986344949915,0.15583377313148575,52.086092599833655,34.43761995804402,36.87844737601835,2.4408274179743246,0.13830247339334706,0.06551386619050685,-0.11354972131512552
unseen_confirmatory,dialogue,middle_12_14,86,0.05442139536030446,0.04193887250658573,0.04352247773294243,0.0015836052263567097,0.1268657982777039,52.086092599833655,34.43761995804402,36.146721334420434,1.7091013763764111,0.09684131941987137,0.05156403631111675,0.05524217691561967
unseen_confirmatory,dialogue,later_middle_19_21,86,0.05442139536030446,0.04193887250658573,0.048101616523845855,0.006162744017260135,0.4937098124698533,52.086092599833655,34.43761995804402,39.73507675320603,5.297456795162009,0.30016517024924955,-0.053488888964837715,-0.10273626884025398
unseen_confirmatory,dialogue,sparse_union,86,0.05442139536030446,0.04193887250658573,0.055119559247328274,0.01318068674074255,1.0559313125403829,52.086092599833655,34.43761995804402,47.59040766654089,13.152787708496861,0.7452649288954621,-0.018490426252249843,-0.32974848434597803
unseen_confirmatory,dialogue,late_negative_30_32,86,0.05442139536030446,0.04193887250658573,0.041889776181079474,-4.909632550624692e-05,-0.003933205336901936,52.086092599833655,34.43761995804402,34.3958774885928,-0.04174246945122409,-0.002365217109631489,0.07931940887464796,-0.054620785147335656
