analysis_set,template,contrast_kind,baseline_condition,candidate_condition,n,semantic_rescued,semantic_harmed,semantic_unchanged_correct,semantic_unchanged_incorrect,baseline_semantic_failures,conditional_semantic_rescue_fraction,conditional_semantic_rescue_ci95_low,conditional_semantic_rescue_ci95_high,semantic_mcnemar_exact_p,exact_rescued,exact_harmed,exact_unchanged_correct,exact_unchanged_incorrect,baseline_exact_failures,conditional_exact_rescue_fraction,conditional_exact_rescue_ci95_low,conditional_exact_rescue_ci95_high,exact_mcnemar_exact_p,mean_paired_expected_log_probability_change,paired_expected_log_probability_change_ci95_low,paired_expected_log_probability_change_ci95_high,mean_paired_logit_margin_change,paired_logit_margin_change_ci95_low,paired_logit_margin_change_ci95_high,prespecified_primary,prespecified_late_control_comparison,semantic_holm_adjusted_p,exact_holm_adjusted_p
unseen_confirmatory,friend,versus_full_bottleneck,full_intermediate_bottleneck,sparse_union,86,26,0,14,46,72,0.3611111111111111,0.25981679706174077,0.4764751953261641,2.9802322387695312e-08,26,0,14,46,72,0.3611111111111111,0.25981679706174077,0.4764751953261641,2.9802322387695312e-08,1.5356544105466021,1.2423254861663242,1.82898333492688,1.6656976744186047,1.3041815792260443,2.027213769611165,True,False,,
unseen_confirmatory,friend,versus_full_bottleneck,full_intermediate_bottleneck,late_negative_30_32,86,4,0,14,68,72,0.05555555555555555,0.02181421598131665,0.13432015965997918,0.125,4,0,14,68,72,0.05555555555555555,0.02181421598131665,0.13432015965997918,0.125,0.07921114217403323,0.056288003672415564,0.10213428067565089,0.08139534883720931,0.048567628690629736,0.11422306898378888,False,False,0.125,0.125
unseen_confirmatory,friend,versus_late_negative,late_negative_30_32,early_5_7,86,21,0,18,47,68,0.3088235294117647,0.21172386467551985,0.42636811693509546,9.5367431640625e-07,21,0,18,47,68,0.3088235294117647,0.21172386467551985,0.42636811693509546,9.5367431640625e-07,1.0792141693622568,0.8187781164273803,1.3396502222971334,0.876453488372093,0.5665612313808319,1.1863457453633541,False,True,2.86102294921875e-06,2.86102294921875e-06
unseen_confirmatory,friend,versus_late_negative,late_negative_30_32,middle_12_14,86,14,0,18,54,68,0.20588235294117646,0.1267956087952063,0.316422824451894,0.0001220703125,14,0,18,54,68,0.20588235294117646,0.1267956087952063,0.316422824451894,0.0001220703125,0.7555621638894081,0.599946582448805,0.9111777453300112,0.8299418604651163,0.6670576493026795,0.9928260716275531,False,True,0.000244140625,0.000244140625
unseen_confirmatory,friend,versus_late_negative,late_negative_30_32,later_middle_19_21,86,5,1,17,63,68,0.07352941176470588,0.031814844251117996,0.16085188395717748,0.21875,5,1,17,63,68,0.07352941176470588,0.031814844251117996,0.16085188395717748,0.21875,0.1896675520165022,0.14579115305596538,0.23354395097703903,0.22093023255813954,0.1580886938517932,0.2837717712644859,False,True,0.21875,0.21875
unseen_confirmatory,friend,versus_late_negative,late_negative_30_32,sparse_union,86,22,0,18,46,68,0.3235294117647059,0.22437604095329994,0.44155501899496036,4.76837158203125e-07,22,0,18,46,68,0.3235294117647059,0.22437604095329994,0.44155501899496036,4.76837158203125e-07,1.456443268372569,1.1730550163342828,1.7398315204108552,1.5843023255813953,1.2330768154929694,1.9355278356698211,False,True,1.9073486328125e-06,1.9073486328125e-06
unseen_confirmatory,visitor_register,versus_full_bottleneck,full_intermediate_bottleneck,early_5_7,86,1,1,45,39,40,0.025,0.0044268315026814095,0.1288136896347409,1.0,1,1,45,39,40,0.025,0.0044268315026814095,0.1288136896347409,1.0,0.04511859675132951,0.03524818074213054,0.05498901276052848,0.15843023255813954,0.11369374780665845,0.20316671730962063,False,False,1.0,1.0
unseen_confirmatory,visitor_register,versus_full_bottleneck,full_intermediate_bottleneck,middle_12_14,86,2,2,44,38,40,0.05,0.013820667386148344,0.16503877369140962,1.0,2,2,44,38,40,0.05,0.013820667386148344,0.16503877369140962,1.0,0.05381725919108058,0.044822756715994186,0.06281176166616698,0.22674418604651161,0.18962905413972836,0.26385931795329487,False,False,1.0,1.0
unseen_confirmatory,visitor_register,versus_full_bottleneck,full_intermediate_bottleneck,later_middle_19_21,86,1,1,45,39,40,0.025,0.0044268315026814095,0.1288136896347409,1.0,1,1,45,39,40,0.025,0.0044268315026814095,0.1288136896347409,1.0,0.09047569555425367,0.07702983774672287,0.10392155336178446,0.4069767441860465,0.369257647589013,0.44469584078308,False,False,1.0,1.0
unseen_confirmatory,visitor_register,versus_full_bottleneck,full_intermediate_bottleneck,sparse_union,86,3,3,43,37,40,0.075,0.025836025774588198,0.19864233524310543,1.0,3,3,43,37,40,0.075,0.025836025774588198,0.19864233524310543,1.0,0.14979685743361018,0.1288395456802848,0.17075416918693556,0.6991279069767442,0.641080912061898,0.7571749018915904,True,False,,
