analysis_set,template,condition,layer,mean_final_token_entity_attention,mean_final_token_entity_contribution_norm
all_100,direct_fact,sparse_union,20,0.037610403075814244,3.0869409930706024
all_100,direct_fact,sparse_union,21,0.12541687477380037,14.85563717842102
all_100,direct_fact,sparse_union,22,0.042235019840300085,4.752921285629273
all_100,direct_fact,sparse_union,23,0.14561632744967937,28.354905986785887
all_100,direct_fact,sparse_union,24,0.1453516399115324,33.96313667297363
all_100,direct_fact,sparse_union,25,0.02621248472481966,13.762165951728822
all_100,direct_fact,sparse_union,26,0.058830231092870236,15.736732606887818
all_100,direct_fact,sparse_union,27,0.056184034310281274,19.223921556472778
all_100,direct_fact,sparse_union,28,0.08566455572843551,48.466943359375
all_100,direct_fact,sparse_union,29,0.0924912230297923,62.04789409637451
all_100,direct_fact,sparse_union,30,0.05047603694722056,51.1231032371521
all_100,direct_fact,sparse_union,31,0.106708724796772,107.81609924316406
all_100,direct_fact,sparse_union,32,0.06120811421424151,122.14373607635498
all_100,direct_fact,sparse_union,33,0.09781955506652594,135.4237331390381
all_100,direct_fact,sparse_union,34,0.06799137812107801,121.4947060394287
all_100,direct_fact,sparse_union,35,0.024194080755114554,15.8155113363266
all_100,direct_fact,late_negative_30_32,0,0.010520990649238228,0.13144008338451385
all_100,direct_fact,late_negative_30_32,1,0.006244885025080293,0.09027159832417965
all_100,direct_fact,late_negative_30_32,2,0.008615995573345572,0.11976152520626783
all_100,direct_fact,late_negative_30_32,3,0.014811110822483898,0.7114362740516662
all_100,direct_fact,late_negative_30_32,4,0.006047183533664793,0.17639973059296607
all_100,direct_fact,late_negative_30_32,5,0.0034553430741652846,0.17671422816812993
all_100,direct_fact,late_negative_30_32,6,0.0033928198856301604,0.12403470426797866
all_100,direct_fact,late_negative_30_32,7,0.0014075783389853314,0.11954440854489803
all_100,direct_fact,late_negative_30_32,8,0.002558227254776284,0.20408071860671043
all_100,direct_fact,late_negative_30_32,9,0.004650816940702498,0.43970451667904853
all_100,direct_fact,late_negative_30_32,10,0.005041544712148607,0.5987958993017674
all_100,direct_fact,late_negative_30_32,11,0.00270602140808478,0.1575358187034726
all_100,direct_fact,late_negative_30_32,12,0.0023340816382551566,0.19864198081195356
all_100,direct_fact,late_negative_30_32,13,0.004211981870466844,0.20593750186264514
all_100,direct_fact,late_negative_30_32,14,0.006359383931849152,0.3535644152760506
